,params,sqrt_mean_test_score,sqrt_mean_train_score
0,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",28135.947330515468,7639.025544404512
1,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",28117.513388350322,7162.612706646357
2,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",28135.947330515468,7639.025544404512
3,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",28117.513388350322,7162.612706646357
4,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",28109.575188048373,5819.091448586777
5,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",28119.722741966776,5399.399319638441
6,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",28109.575188048373,5819.091448586777
7,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",28119.722741960897,5399.399319645051
8,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",26663.592615999238,5015.086689068445
9,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",26659.066342500853,4614.742051361898
10,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",26663.592615999238,5015.086689068445
11,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",26659.066342500853,4614.742051361898
12,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",26430.422168499732,3452.379439127563
13,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",26441.24372545682,3100.7510587870984
14,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",26430.422168499732,3452.379439127563
15,"{'alpha': 0.9, 'learning_rate': 0.09, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",26441.24372545682,3100.7510587870984
16,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",28019.632846560133,10309.699616998781
17,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",27909.691609055135,9833.52059603011
18,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",28019.632846560133,10309.699616998781
19,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",27909.691609055135,9833.52059603011
20,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",27891.440576174336,8533.069746052022
21,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",27861.836203483574,8062.809194158414
22,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",27891.440576174336,8533.069746052022
23,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",27861.836203483574,8062.809194158414
24,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",26899.280292157822,7558.870893872662
25,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",26889.953412545798,7098.2301555917775
26,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",26899.280292157822,7558.870893872662
27,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",26889.953412545798,7098.2301555917775
28,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",25636.513979364612,5792.8045118452055
29,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",25658.329105847155,5349.384648414805
30,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",25636.513979364612,5792.8045118452055
31,"{'alpha': 0.9, 'learning_rate': 0.05, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",25658.329105847155,5349.384648414805
32,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",27974.099646357277,13589.980129894466
33,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",27876.006489002946,13106.430109080125
34,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",27974.099646357277,13589.980129894466
35,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",27876.006489002946,13106.430109080125
36,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",27642.696367291624,11841.675480804033
37,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",27593.807639461662,11378.017780897342
38,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",27642.696367291624,11841.675480804033
39,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",27593.807639461662,11378.017780897342
40,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",26925.04669993137,10828.507498054041
41,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",26887.799249710442,10364.619455696413
42,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",26925.04669993137,10828.507498054041
43,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",26887.799249710442,10364.619455696413
44,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",26121.61949432302,9009.61811254586
45,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",26098.501066440414,8540.050109394215
46,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",26121.61949432302,9009.61811254586
47,"{'alpha': 0.9, 'learning_rate': 0.025, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",26098.501066440414,8540.050109394215
48,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",52648.04914539006,50495.54147280339
49,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 2, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",51033.31519168787,48664.22731294978
50,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",52648.04914539006,50495.54147280339
51,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 2, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",51033.31519168787,48664.22731294978
52,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",48594.027848003054,45953.556651510306
53,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 3, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",46923.09065314143,44014.72920660197
54,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",48594.027848003054,45953.556651510306
55,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 3, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",46923.09065314143,44014.72920660197
56,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",45640.87452237575,42595.539115824846
57,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 4, 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",44026.98530504247,40699.62014272638
58,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",45640.87452237575,42595.539115824846
59,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 4, 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",44026.98530504247,40699.62014272638
60,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2000, 'warm_start': True}",41293.590049001985,37479.27458147773
61,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 'log2', 'min_impurity_decrease': 1e-05, 'n_estimators': 2200, 'warm_start': True}",39757.361531953255,35561.658377112304
62,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2000, 'warm_start': True}",41293.590049001985,37479.27458147773
63,"{'alpha': 0.9, 'learning_rate': 0.001, 'max_features': 'log2', 'min_impurity_decrease': 1e-06, 'n_estimators': 2200, 'warm_start': True}",39757.361531953255,35561.658377112304
